0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.785071000,0.655740000,1.001971000,-0.578093000,0.446597000,0.257730000,0.435200000,0.347794000,1.167570000,2.519984000,1.007261000,-1.029654000,1.232975000,0.856921000,1.173135000,0.686708000,5.943779000,1.166973000,1.990979000
0.219559000,0.870936000,1.574151000,0.159049000,1.754197000,1.514020000,0.946126000,1.416030000,1.966574000,3.115998000,1.998383000,0.027361000,2.047561000,2.197881000,2.051175000,1.107976000,7.383331000,2.183301000,2.535493000
1.400969000,1.341400000,2.856890000,1.191805000,3.426952000,3.118994000,1.552251000,2.840335000,2.967977000,4.066630000,3.275954000,1.288903000,2.884095000,3.878102000,3.330007000,1.845901000,8.935801000,3.377072000,3.223923000
2.763202000,2.196420000,4.711387000,2.608273000,5.418968000,4.964417000,2.501639000,4.646093000,4.200784000,5.414882000,4.898395000,2.811146000,3.967474000,5.756635000,4.918984000,2.977776000,10.361788000,4.736696000,4.259807000
4.360078000,3.524647000,6.784017000,4.325240000,7.553954000,6.824073000,3.880710000,6.693989000,5.689552000,7.025190000,6.744395000,4.528729000,5.454367000,7.551741000,6.615514000,4.309237000,11.590694000,6.265933000,5.628702000
6.157527000,5.201029000,8.740592000,6.059601000,9.578766000,8.533611000,5.495181000,8.686249000,7.336850000,8.668678000,8.554704000,6.270459000,7.183531000,9.016911000,8.198365000,5.612148000,12.650178000,7.910821000,7.140869000
7.944495000,6.971077000,10.398045000,7.493218000,11.282132000,9.948969000,7.133585000,10.347425000,8.922656000,10.167428000,10.111640000,7.878639000,8.829986000,10.072910000,9.524517000,6.759708000,13.552149000,9.445860000,8.577210000
9.444301000,8.569205000,11.664064000,8.442174000,12.559412000,10.938469000,8.625701000,11.575788000,10.227889000,11.420274000,11.339692000,9.246430000,10.112687000,10.759415000,10.525260000,7.686174000,14.251861000,10.584285000,9.745169000
10.490867000,9.839511000,12.502609000,8.901304000,13.393361000,11.493622000,9.877032000,12.441637000,11.144348000,12.376347000,12.240915000,10.285686000,10.965668000,11.131327000,11.185730000,8.393330000,14.671571000,11.265073000,10.565037000
11.091369000,10.741290000,12.968221000,8.977666000,13.811861000,11.771535000,10.812932000,13.060086000,11.668515000,13.005967000,12.797601000,10.940206000,11.500929000,11.245105000,11.532664000,8.886956000,14.737636000,11.620901000,11.056275000
11.346938000,11.270686000,13.207413000,8.823052000,13.886731000,11.916381000,11.364467000,13.466968000,11.836112000,13.305106000,13.002184000,11.225409000,11.848359000,11.192647000,11.616523000,9.128242000,14.471450000,11.799901000,11.264304000
11.374396000,11.455076000,13.339634000,8.602574000,13.733325000,11.962383000,11.544007000,13.627100000,11.702101000,13.345711000,12.923942000,11.223180000,12.077126000,11.076746000,11.474639000,9.104937000,14.066161000,11.888545000,11.252212000
11.278954000,11.357208000,13.413589000,8.430674000,13.457650000,11.872958000,11.441141000,13.548880000,11.360067000,13.221230000,12.683454000,11.022846000,12.194868000,10.940103000,11.115089000,8.854331000,13.749597000,11.908019000,11.088073000
11.153612000,11.078956000,13.406816000,8.300640000,13.109350000,11.579214000,11.127621000,13.322145000,10.908970000,12.957876000,12.369650000,10.670835000,12.160208000,10.745137000,10.548359000,8.417719000,13.575202000,11.810054000,10.787630000
11.063419000,10.719958000,13.267216000,8.104759000,12.692835000,11.084936000,10.648739000,13.027112000,10.402019000,12.574082000,11.992779000,10.182346000,11.945650000,10.435497000,9.827442000,7.837566000,13.410925000,11.527639000,10.348910000
11.003839000,10.340283000,12.994818000,7.745368000,12.205231000,10.455408000,10.034868000,12.655588000,9.848676000,12.094098000,11.511547000,9.584385000,11.566263000,10.007065000,9.034223000,7.166214000,13.117490000,11.052184000,9.787213000
10.893810000,9.957733000,12.639472000,7.217761000,11.647067000,9.736056000,9.297729000,12.152486000,9.240891000,11.530338000,10.891419000,8.923436000,11.040223000,9.502043000,8.247890000,6.450278000,12.646564000,10.430112000,9.111947000
10.656556000,9.552624000,12.251613000,6.596172000,11.024910000,8.945540000,8.448483000,11.513339000,8.568948000,10.885318000,10.138293000,8.240966000,10.385381000,8.955246000,7.495571000,5.713776000,12.016031000,9.709501000,8.339753000
10.308140000,9.086973000,11.851154000,5.955659000,10.349373000,8.101330000,7.546310000,10.797595000,7.833632000,10.156429000,9.279572000,7.553068000,9.632884000,8.361547000,6.749234000,4.953631000,11.266285000,8.928498000,7.521826000
9.919797000,8.550971000,11.405563000,5.317434000,9.625948000,7.226620000,6.673086000,10.060414000,7.047845000,9.350190000,8.341986000,6.841229000,8.810135000,7.696419000,5.957132000,4.156133000,10.440905000,8.147152000,6.715331000
9.529279000,7.978317000,10.864801000,4.670389000,8.859550000,6.332607000,5.841659000,9.313703000,6.236187000,8.509515000,7.346784000,6.061752000,7.928505000,6.957241000,5.097572000,3.323817000,9.579406000,7.382676000,5.930692000
9.143879000,7.397416000,10.205402000,4.015118000,8.066356000,5.438363000,5.017773000,8.541069000,5.430146000,7.670563000,6.324193000,5.219467000,7.015161000,6.178283000,4.225780000,2.510065000,8.706101000,6.561629000,5.157547000
8.752401000,6.797979000,9.447374000,3.373678000,7.267293000,4.575960000,4.191142000,7.722863000,4.651152000,6.861220000,5.314332000,4.382717000,6.129442000,5.401957000,3.428046000,1.767766000,7.815263000,5.649890000,4.387969000
8.325779000,6.182910000,8.628317000,2.773218000,6.464502000,3.782763000,3.372160000,6.853179000,3.906924000,6.112945000,4.354941000,3.603283000,5.334504000,4.652637000,2.735750000,1.113518000,6.882562000,4.740220000,3.594776000
